DateTime,AltmanZScore
2022-09-30,0.5546
2022-06-30,0.5546
2022-03-31,0.5546
2021-12-31,0.5546
2021-09-30,0.7727
2021-06-30,0.7727
2021-03-31,0.7727
2020-12-31,0.7727
2020-09-30,0.6436
2020-06-30,0.6436
2020-03-31,0.6436
2019-12-31,0.6436
2019-09-30,0.6431
2019-06-30,0.6431
2019-03-31,0.6431
2018-12-31,0.6431
2018-09-30,0.6867
2018-06-30,0.6867
2018-03-31,0.6867
2017-12-31,0.6867
2017-09-30,0.6827
2017-06-30,0.6827
2017-03-31,0.6827
2016-12-31,0.6827
2016-09-30,0.5539
2016-06-30,0.5539
2016-03-31,0.5539
2015-12-31,0.5539
2015-09-30,0.5174
2015-06-30,0.5174
2015-03-31,0.5174
2014-12-31,0.5174
2014-09-30,0.4817
2014-06-30,0.4817
2014-03-31,0.4817
2013-12-31,0.4817
2013-09-30,0.5013
2013-06-30,0.5013
2013-03-31,0.4823
2012-12-31,0.478
2012-09-30,0.4744
2012-06-30,0.4166
2012-03-31,0.4187
2011-12-31,0.424
2011-09-30,0.4285
2011-06-30,0.454
2011-03-31,0.4753
2010-12-31,0.4127
2010-09-30,0.419
2010-06-30,0.3899
