DateTime,AltmanZScore
2023-03-31,-0.4338
2022-12-31,-1.203
2022-09-30,-0.4895
2022-06-30,0.0077
2022-03-31,0.4926
2021-12-31,1.396
2021-09-30,0.6338
2021-06-30,0.05
2021-03-31,1.213
2020-12-31,0.8382
2020-09-30,1.147
2020-06-30,1.415
2020-03-31,0.4957
2019-12-31,0.2485
2019-09-30,0.338
2019-06-30,0.9496
2019-03-31,1.188
2018-12-31,1.369
2018-09-30,1.717
2018-06-30,2.97
2018-03-31,2.615
2017-12-31,2.21
2017-09-30,2.788
2017-06-30,2.137
2017-03-31,2.046
2016-12-31,2.169
2016-09-30,2.438
2016-06-30,3.061
2016-03-31,2.97
2015-12-31,3.238
2015-09-30,3.25
2015-06-30,2.073
2015-03-31,2.027
2014-12-31,-1.796
