DateTime,AltmanZScore
2023-03-31,5.672
2022-12-31,4.882
2022-09-30,5.097
2022-06-30,4.642
2022-03-31,4.876
2021-12-31,4.86
2021-09-30,5.033
2021-06-30,4.985
2021-03-31,4.581
2020-12-31,3.898
2020-09-30,3.705
2020-06-30,3.488
2020-03-31,3.608
2019-12-31,4.414
2019-09-30,4.539
2019-06-30,4.501
2019-03-31,4.928
2018-12-31,7.765
2018-09-30,10.71
2018-06-30,10.15
2018-03-31,8.248
2017-12-31,7.394
2017-09-30,8.366
2017-06-30,8.391
2017-03-31,7.273
2016-12-31,7.564
2016-09-30,7.776
2016-06-30,8.424
2016-03-31,7.845
2015-12-31,6.939
2015-09-30,7.554
2015-06-30,7.807
2015-03-31,7.529
2014-12-31,6.97
2014-09-30,7.066
2014-06-30,6.662
2014-03-31,6.505
2013-12-31,6.757
2013-09-30,7.422
2013-06-30,7.18
2013-03-31,6.154
2012-12-31,5.258
2012-09-30,5.94
2012-06-30,6.083
2012-03-31,5.38
2011-12-31,4.959
2011-09-30,5.353
2011-06-30,6.185
2011-03-31,5.938
2010-12-31,6.018
