DateTime,AltmanZScore
2023-06-30,3.707
2023-03-31,2.81
2022-12-31,2.073
2022-09-30,1.285
2022-06-30,1.26
2022-03-31,1.071
2021-12-31,1.004
2021-09-30,1.176
2021-06-30,1.246
2021-03-31,0.9577
2020-12-31,0.6794
2020-09-30,0.7675
2020-06-30,1.342
2020-03-31,2.353
2019-12-31,5.031
2019-09-30,5.254
2019-06-30,5.904
2019-03-31,5.044
2018-12-31,6.353
2018-09-30,7.373
2018-06-30,8.246
2018-03-31,5.515
2017-12-31,4.849
2017-09-30,5.697
2017-06-30,6.476
2017-03-31,5.74
2016-12-31,5.8
2016-09-30,6.069
2016-06-30,4.534
2016-03-31,4.554
2015-12-31,4.172
2015-09-30,4.532
2015-06-30,5.376
2015-03-31,5.324
2014-12-31,5.106
2014-09-30,6.274
2014-06-30,5.829
2014-03-31,5.718
2013-12-31,4.593
2013-09-30,5.401
2013-06-30,7.812
2013-03-31,7.224
2012-12-31,6.755
2012-09-30,8.242
2012-06-30,10.16
2012-03-31,9.832
2011-12-31,12.27
2011-09-30,11.75
2011-06-30,23.71
2011-03-31,17.42
