DateTime,AltmanZScore
2023-03-31,1.039
2022-12-31,1.086
2022-09-30,1.144
2022-06-30,1.204
2022-03-31,1.206
2021-12-31,1.118
2021-09-30,1.029
2021-06-30,1.016
2021-03-31,1.058
2020-12-31,0.7933
2020-09-30,0.7648
2020-06-30,0.8987
2020-03-31,0.9212
2019-12-31,1.222
2019-09-30,1.258
2019-06-30,1.313
2019-03-31,1.287
2018-12-31,1.32
2018-09-30,1.374
2018-06-30,1.36
2018-03-31,1.409
2017-12-31,0.7753
2017-09-30,0.7762
2017-06-30,0.8087
2017-03-31,0.8231
2016-12-31,0.8584
2016-09-30,0.819
2016-06-30,0.8208
2016-03-31,0.8563
2015-12-31,0.8117
2015-09-30,0.8382
2015-06-30,0.7736
2015-03-31,0.7641
2014-12-31,0.7122
2014-09-30,0.7044
2014-06-30,0.7267
2014-03-31,0.7373
2013-12-31,0.7391
2013-09-30,0.6941
2013-06-30,0.66
2013-03-31,0.6528
2012-12-31,0.6198
2012-09-30,0.6182
2012-06-30,0.5943
2012-03-31,0.526
2011-12-31,0.5864
2011-09-30,0.5205
2011-06-30,0.5188
2011-03-31,0.5826
2010-12-31,0.7173
