DateTime,AltmanZScore
2023-03-31,3.529
2022-12-31,3.803
2022-09-30,3.638
2022-06-30,3.316
2022-03-31,2.911
2021-12-31,2.776
2021-09-30,2.751
2021-06-30,2.819
2021-03-31,2.641
2020-12-31,2.398
2020-09-30,2.349
2020-06-30,2.313
2020-03-31,2.368
2019-12-31,2.514
2019-09-30,2.719
2019-06-30,2.955
2019-03-31,2.839
2018-12-31,3.01
2018-09-30,3.681
2018-06-30,3.584
2018-03-31,3.302
2017-12-31,3.537
2017-09-30,3.224
2017-06-30,3.126
2017-03-31,3.196
2016-12-31,3.356
2016-09-30,3.389
2016-06-30,3.572
2016-03-31,3.71
2015-12-31,3.907
2015-09-30,3.925
2015-06-30,4.267
2015-03-31,4.401
2014-12-31,4.613
2014-09-30,4.338
2014-06-30,4.207
2014-03-31,4.376
2013-12-31,4.597
2013-09-30,6.468
2013-06-30,6.08
2013-03-31,5.896
2012-12-31,5.502
2012-09-30,8.386
2012-06-30,8.859
2012-03-31,8.215
2011-12-31,4.862
2011-09-30,7.378
2011-06-30,8.674
2011-03-31,8.425
2010-12-31,8.872
