DateTime,AltmanZScore
2023-03-31,7.659
2022-12-31,8.783
2022-09-30,7.308
2022-06-30,7.753
2022-03-31,6.7
2021-12-31,7.187
2021-09-30,6.457
2021-06-30,6.411
2021-03-31,6.063
2020-12-31,5.762
2020-09-30,4.797
2020-06-30,5.301
2020-03-31,4.948
2019-12-31,3.935
2019-09-30,3.515
2019-06-30,3.465
2019-03-31,4.142
2018-12-31,7.989
2018-09-30,7.906
2018-06-30,7.932
2018-03-31,8.089
2017-12-31,8.369
2017-09-30,6.772
2017-06-30,6.928
2017-03-31,11.35
2016-12-31,12.22
2016-09-30,11.44
2016-06-30,12.21
2016-03-31,11.01
2015-12-31,11.18
2015-09-30,8.999
2015-06-30,9.469
2015-03-31,8.384
2014-12-31,8.653
2014-09-30,6.264
2014-06-30,5.676
2014-03-31,5.698
2013-12-31,6.022
2013-09-30,6.05
2013-06-30,5.863
2013-03-31,5.846
2012-12-31,5.366
2012-09-30,4.994
2012-06-30,4.794
2012-03-31,4.751
2011-12-31,4.426
2011-09-30,3.696
2011-06-30,4.689
2011-03-31,5.319
2010-12-31,5.117
