DateTime,AltmanZScore
2023-03-31,0.4636
2022-12-31,0.4465
2022-09-30,0.4527
2022-06-30,0.4781
2022-03-31,0.5208
2021-12-31,0.5168
2021-09-30,0.4695
2021-06-30,0.418
2021-03-31,0.3205
2020-12-31,0.3002
2020-09-30,0.2495
2020-06-30,0.2379
2020-03-31,0.3009
2019-12-31,0.2894
2019-09-30,0.3201
2019-06-30,0.2728
2019-03-31,0.2637
2018-12-31,0.2444
2018-09-30,0.2336
2018-06-30,0.2261
2018-03-31,0.2279
2017-12-31,0.2372
2017-09-30,0.2875
2017-06-30,0.2848
2017-03-31,0.2672
2016-12-31,0.2342
2016-09-30,0.2274
2016-06-30,0.1734
2016-03-31,0.1796
2015-12-31,0.166
2015-09-30,0.1971
2015-06-30,0.1699
2015-03-31,0.2347
2014-12-31,0.1918
2014-09-30,0.2013
2014-06-30,0.2386
2014-03-31,0.2494
2013-12-31,0.218
2013-09-30,0.2499
2013-06-30,0.2793
2013-03-31,0.2195
2012-12-31,0.1546
2012-09-30,-0.0136
2012-06-30,-0.0538
2012-03-31,0.0522
2011-12-31,0.1782
2011-09-30,0.1342
2011-06-30,0.1918
2011-03-31,0.1426
2010-12-31,0.1289
