DateTime,AltmanZScore
2023-03-31,-7.776
2022-12-31,-5.731
2022-09-30,-4.181
2022-06-30,-3.22
2022-03-31,0.4319
2021-12-31,2.488
2021-09-30,4.96
2021-06-30,6.708
2021-03-31,8.917
2020-12-31,8.744
2020-09-30,10.3
2020-06-30,9.677
2020-03-31,-1.719
2019-12-31,0.1307
2019-09-30,-2.442
2019-06-30,-2.773
2019-03-31,-1.088
2018-12-31,-0.8328
2018-09-30,-0.9385
2018-06-30,0.5217
2018-03-31,2.566
2017-12-31,4.614
2017-09-30,0.2336
2017-06-30,1.693
2017-03-31,3.747
2016-12-31,1.672
2016-09-30,4.96
2016-06-30,7.225
