DateTime,AltmanZScore
2023-06-30,0.2951
2023-03-31,0.3756
2022-12-31,0.3709
2022-09-30,0.3651
2022-06-30,0.3928
2022-03-31,0.4604
2021-12-31,0.4574
2021-09-30,0.4393
2021-06-30,0.4392
2021-03-31,0.4356
2020-12-31,0.3785
2020-09-30,0.3454
2020-06-30,0.3654
2020-03-31,0.3953
2019-12-31,0.461
2019-09-30,0.2706
2019-06-30,0.2548
2019-03-31,0.2362
2018-12-31,0.3022
2018-09-30,0.3844
2018-06-30,0.3592
2018-03-31,0.3447
2017-12-31,0.313
2017-09-30,0.3391
2017-06-30,0.4548
2017-03-31,0.5371
2016-12-31,0.5284
2016-09-30,0.3917
2016-06-30,0.3394
2016-03-31,0.3039
2015-12-31,0.3053
2015-09-30,0.3664
2015-06-30,0.3253
2015-03-31,0.3485
2014-12-31,0.3557
