DateTime,AltmanZScore
2023-03-31,4.991
2022-12-31,4.461
2022-09-30,4.185
2022-06-30,4.234
2022-03-31,3.922
2021-12-31,3.88
2021-09-30,3.891
2021-06-30,4.094
2021-03-31,3.882
2020-12-31,3.587
2020-09-30,3.186
2020-06-30,3.12
2020-03-31,2.991
2019-12-31,3.662
2019-09-30,3.767
2019-06-30,3.436
2019-03-31,3.62
2018-12-31,4.042
2018-09-30,4.504
2018-06-30,5.008
2018-03-31,4.496
2017-12-31,4.519
2017-09-30,4.513
2017-06-30,4.234
2017-03-31,4.168
2016-12-31,3.697
2016-09-30,3.521
2016-06-30,3.465
2016-03-31,3.625
2015-12-31,2.23
2015-09-30,3.573
2015-06-30,3.479
2015-03-31,1.75
2014-12-31,2.021
2014-09-30,1.476
2014-06-30,1.726
2014-03-31,1.962
2013-12-31,2.035
2013-09-30,2.39
2013-06-30,2.264
2013-03-31,2.22
2012-12-31,2.242
2012-09-30,2.354
2012-06-30,2.368
2012-03-31,2.451
2011-12-31,2.569
2011-09-30,2.429
2011-06-30,2.366
2011-03-31,2.262
2010-12-31,2.262
