DateTime,AltmanZScore
2022-06-30,0.3192
2021-12-31,0.5382
2021-09-30,0.6691
2021-06-30,0.2798
2021-03-31,0.309
2020-12-31,0.2925
2020-09-30,0.3849
2020-06-30,0.6181
2020-03-31,0.6326
2019-12-31,0.7302
2019-09-30,0.7302
2019-06-30,0.7302
2019-03-31,0.6879
2018-12-31,0.7431
2018-09-30,0.751
2018-06-30,0.8121
2018-03-31,0.6686
2017-12-31,0.7931
2017-09-30,0.8343
2017-06-30,0.7346
2017-03-31,0.697
2016-12-31,0.7174
2016-09-30,0.3759
2016-06-30,0.3759
2016-03-31,0.3759
2015-12-31,0.292
2015-09-30,0.292
2015-06-30,0.292
2015-03-31,0.292
2014-12-31,0.574
2014-09-30,0.574
2014-06-30,0.574
2014-03-31,0.574
2013-12-31,0.5224
2013-09-30,0.5224
2013-06-30,0.5224
2013-03-31,0.5224
2012-12-31,0.9901
