DateTime,AltmanZScore
2023-03-31,0.4653
2022-12-31,0.757
2022-09-30,0.8069
2022-06-30,0.7852
2022-03-31,0.743
2021-12-31,1.004
2021-09-30,0.8773
2021-06-30,1.044
2021-03-31,1.134
2020-12-31,1.173
2020-09-30,1.074
2020-06-30,0.9089
2020-03-31,0.5745
2019-12-31,0.3069
2019-09-30,0.3776
2019-06-30,0.4527
2019-03-31,0.4723
2018-12-31,0.9738
2018-09-30,0.8043
2018-06-30,0.926
2018-03-31,0.8968
2017-12-31,0.3551
2017-09-30,0.1723
2017-06-30,0.5987
2017-03-31,0.3869
2016-12-31,0.3695
2016-09-30,0.5303
2016-06-30,0.4987
2016-03-31,0.3847
2015-12-31,0.5882
2015-09-30,0.4815
2015-06-30,0.3188
