DateTime,AltmanZScore
2023-03-31,-6.428
2022-12-31,-5.613
2022-09-30,-5.718
2022-06-30,-4.424
2022-03-31,-2.788
2021-12-31,-2.468
2021-09-30,0.6492
2021-06-30,1.209
2021-03-31,3.526
2020-12-31,-17.96
2020-09-30,-14.66
2020-06-30,-11.52
2020-03-31,-16.93
2019-12-31,-15.6
2019-09-30,-12.5
2019-06-30,-11.51
2019-03-31,-11.2
2018-12-31,-10.81
2018-09-30,-9.676
2018-06-30,-8.838
2018-03-31,-7.979
2017-12-31,-5.727
2017-09-30,-5.022
2017-06-30,-4.822
2017-03-31,-5.09
2016-12-31,-16.21
2016-09-30,-16.82
2016-06-30,-16.5
2016-03-31,-16.76
2015-12-31,-19.08
2015-09-30,-13.08
2015-06-30,-14.08
2015-03-31,-13.21
2014-12-31,-12.89
2014-09-30,-11.24
2014-06-30,-9.723
