DateTime,AltmanZScore
2023-06-30,0.2212
2023-03-31,0.1527
2022-12-31,0.1898
2022-09-30,0.1543
2022-06-30,0.1442
2022-03-31,0.2033
2021-12-31,0.2757
2021-09-30,0.2315
2021-06-30,0.2282
2021-03-31,0.2241
2020-12-31,0.2143
2020-09-30,0.1352
2020-06-30,0.1413
2020-03-31,0.1178
2019-12-31,0.2236
2019-09-30,0.1644
2019-06-30,0.1385
2019-03-31,0.1383
2018-12-31,0.1714
2018-09-30,0.0811
2018-06-30,0.0881
2018-03-31,0.1365
2017-12-31,0.2386
2017-09-30,0.2091
2017-06-30,0.1942
2017-03-31,0.1945
2016-12-31,0.2067
2016-09-30,0.1684
2016-06-30,0.1556
2016-03-31,0.1935
2015-12-31,0.1824
2015-09-30,0.2196
2015-06-30,0.2477
2015-03-31,0.2573
2014-12-31,0.2363
2014-09-30,0.244
2014-06-30,0.2404
2014-03-31,0.2401
2013-12-31,0.2166
2013-09-30,0.2735
2013-06-30,0.3095
2013-03-31,0.3354
2012-12-31,0.2643
2012-09-30,0.2284
2012-06-30,0.1937
2012-03-31,0.2338
2011-12-31,0.2439
2011-09-30,0.2451
2011-06-30,0.2621
2011-03-31,0.2595
