DateTime,AltmanZScore
2023-06-30,3.155
2023-03-31,3.114
2022-12-31,3.247
2022-09-30,4.049
2022-06-30,4.611
2022-03-31,4.755
2021-12-31,7.038
2021-09-30,7.734
2021-06-30,9.351
2021-03-31,7.629
2020-12-31,6.282
2020-09-30,5.016
2020-06-30,5.8
2020-03-31,5.428
2019-12-31,7.96
2019-09-30,6.326
2019-06-30,6.301
2019-03-31,8.261
2018-12-31,14.78
2018-09-30,14.32
2018-06-30,11.41
2018-03-31,6.603
2017-12-31,4.186
2017-09-30,5.064
2017-06-30,4.307
2017-03-31,3.537
2016-12-31,4.135
2016-09-30,4.053
2016-06-30,1.829
2016-03-31,0.8114
2015-12-31,1.377
2015-09-30,2.52
2015-06-30,3.132
2015-03-31,2.249
2014-12-31,30.51
2014-09-30,-5.071
2014-06-30,-3.39
2014-03-31,-0.864
2013-12-31,0.1006
2013-09-30,-0.0052
2013-06-30,-1.861
2013-03-31,-2.344
2012-12-31,-2.149
2012-09-30,-1.699
2012-06-30,-1.361
2012-03-31,-0.9289
2011-12-31,-0.7026
2011-09-30,-0.4264
2011-06-30,0.0619
2011-03-31,0.163
