DateTime,AltmanZScore
2023-03-31,-0.2701
2022-09-30,-0.4545
2022-03-31,-0.4466
2021-09-30,-0.4662
2021-03-31,-0.3924
2020-09-30,-0.4554
2020-03-31,-0.4818
2019-09-30,-0.4477
2019-03-31,-0.4046
2018-09-30,-0.3656
2018-03-31,-0.1416
2017-09-30,-0.1621
2017-03-31,-0.0552
2016-09-30,-0.1137
2016-03-31,0.0033
2015-09-30,0.2154
2015-03-31,0.2291
2014-09-30,0.1978
2014-03-31,0.3066
2013-09-30,0.8007
2013-03-31,0.0997
2012-09-30,-0.0519
2012-03-31,0.4528
2011-09-30,0.6207
2011-03-31,0.5626
2010-09-30,0.5068
2010-03-31,0.4166
