DateTime,AltmanZScore
2023-06-30,-4.548
2023-03-31,-4.629
2022-12-31,-4.947
2022-09-30,-5.652
2022-06-30,-5.723
2022-03-31,-3.681
2021-12-31,-3.085
2021-09-30,-5.091
2021-06-30,-5.054
2021-03-31,-5.542
2020-12-31,-5.302
2020-09-30,-5.653
2020-06-30,-5.487
2020-03-31,-6.471
2019-12-31,-6.028
2019-09-30,-5.916
2019-06-30,-5.529
2019-03-31,-6.085
2018-12-31,-6.945
2018-09-30,-7.096
2018-06-30,-7.569
2018-03-31,-5.17
2017-12-31,-5.245
2017-09-30,-5.464
2017-06-30,-7.454
2017-03-31,-7.714
2016-12-31,-7.935
2016-09-30,-8.09
2016-06-30,-7.867
2016-03-31,-7.876
2015-12-31,-7.858
2015-09-30,-7.726
2015-06-30,-7.944
2015-03-31,-7.728
2014-12-31,-10.99
2014-09-30,-9.607
2014-06-30,-9.207
2014-03-31,-7.989
2013-12-31,-7.709
2013-09-30,-9.098
2013-06-30,-8.358
2013-03-31,-10.2
2012-12-31,-10.07
2012-09-30,-10.81
2012-06-30,-10.82
2012-03-31,-11.52
2011-12-31,-11.96
2011-09-30,-14.0
2011-06-30,-12.46
2011-03-31,-8.754
