DateTime,AltmanZScore
2023-03-31,13.1
2022-12-31,12.98
2022-09-30,14.63
2022-06-30,14.36
2022-03-31,14.26
2021-12-31,12.31
2021-09-30,11.26
2021-06-30,12.41
2021-03-31,12.91
2020-12-31,14.18
2020-09-30,15.41
2020-06-30,18.59
2020-03-31,16.75
2019-12-31,16.5
2019-09-30,12.49
2019-06-30,15.38
2019-03-31,16.41
2018-12-31,14.71
2018-09-30,18.01
2018-06-30,15.98
2018-03-31,15.94
2017-12-31,14.5
2017-09-30,15.52
2017-06-30,13.05
2017-03-31,12.06
2016-12-31,5.479
2016-09-30,7.252
2016-06-30,7.143
2016-03-31,6.137
2015-12-31,10.51
2015-09-30,8.341
2015-06-30,10.48
2015-03-31,11.5
2014-12-31,11.01
2014-09-30,10.58
2014-06-30,11.57
2014-03-31,8.132
2013-12-31,8.686
2013-09-30,7.391
2013-06-30,8.718
2013-03-31,3.222
2012-12-31,2.82
2012-09-30,4.772
2012-06-30,5.495
2012-03-31,4.007
2011-12-31,2.398
2011-09-30,2.062
2011-06-30,0.9785
2011-03-31,0.7571
2010-12-31,-0.2076
