DateTime,AltmanZScore
2023-03-31,1.139
2022-12-31,0.7767
2022-09-30,0.7979
2022-06-30,0.8112
2022-03-31,1.063
2021-12-31,0.9875
2021-09-30,1.181
2021-06-30,1.129
2021-03-31,1.127
2020-12-31,1.058
2020-09-30,1.099
2020-06-30,1.169
2020-03-31,1.151
2019-12-31,1.758
2019-09-30,1.854
2019-06-30,1.962
2019-03-31,2.097
2018-12-31,1.834
2018-09-30,1.884
2018-06-30,1.925
2018-03-31,2.021
2017-12-31,2.419
2017-09-30,2.298
2017-06-30,2.649
2017-03-31,2.641
2016-12-31,2.874
2016-09-30,2.503
2016-06-30,2.51
2016-03-31,2.64
2015-12-31,2.478
2015-09-30,2.678
2015-06-30,2.671
2015-03-31,2.587
2014-12-31,2.632
2014-09-30,2.6
2014-06-30,2.444
2014-03-31,2.887
2013-12-31,2.718
2013-09-30,2.753
2013-06-30,3.085
2013-03-31,2.385
2012-12-31,2.112
2012-09-30,2.104
2012-06-30,2.117
2012-03-31,2.436
2011-12-31,2.694
2011-09-30,2.318
2011-06-30,3.016
2011-03-31,2.831
2010-12-31,3.19
