DateTime,AltmanZScore
2022-03-31,9.053
2021-12-31,12.49
2021-09-30,15.42
2021-06-30,18.06
2021-03-31,13.57
2020-12-31,11.88
2020-09-30,18.28
2020-06-30,18.3
2020-03-31,0.1886
2019-12-31,-4.855
2019-09-30,-3.776
2019-06-30,-4.508
2019-03-31,-4.681
2018-12-31,-4.622
2018-09-30,-3.392
2018-06-30,-2.401
2018-03-31,-1.035
2017-12-31,-7.304
2017-09-30,-6.938
2017-06-30,-6.0
2017-03-31,-4.823
2016-12-31,-3.41
2016-09-30,-1.839
2016-06-30,-1.299
2016-03-31,0.4539
2015-12-31,3.787
2015-09-30,4.339
2015-06-30,3.369
2015-03-31,6.026
2014-12-31,4.088
2014-09-30,2.042
2014-06-30,2.169
2014-03-31,5.592
2013-12-31,3.481
2013-09-30,4.427
2013-06-30,2.657
2013-03-31,4.439
2012-12-31,3.472
2012-09-30,0.5835
2012-06-30,4.13
2012-03-31,-1.273
2011-12-31,-1.069
2011-09-30,-1.235
2011-06-30,1.183
2011-03-31,1.494
2010-12-31,1.27
2010-09-30,1.139
2010-06-30,1.139
2010-03-31,1.139
2009-12-31,1.139
