DateTime,AltmanZScore
2023-06-30,0.8343
2023-03-31,1.125
2022-12-31,1.144
2022-09-30,1.092
2022-06-30,1.167
2022-03-31,1.208
2021-12-31,1.19
2021-09-30,1.174
2021-06-30,1.16
2021-03-31,1.138
2020-12-31,1.111
2020-09-30,1.078
2020-06-30,1.074
2020-03-31,1.095
2019-12-31,1.122
2019-09-30,1.084
2019-06-30,1.047
2019-03-31,1.019
2018-12-31,0.9808
2018-09-30,0.9813
2018-06-30,0.9541
2018-03-31,0.9425
2017-12-31,0.9198
2017-09-30,0.9004
2017-06-30,0.862
2017-03-31,0.843
2016-12-31,0.8497
2016-09-30,0.7898
2016-06-30,0.7383
2016-03-31,0.7533
2015-12-31,0.7393
2015-09-30,0.7158
2015-06-30,0.7461
2015-03-31,0.7447
2014-12-31,0.7552
2014-09-30,0.7423
2014-06-30,0.739
2014-03-31,0.7323
2013-12-31,0.7315
2013-09-30,0.6972
2013-06-30,0.6701
2013-03-31,0.6543
2012-12-31,0.6435
2012-09-30,0.4335
2012-06-30,0.4137
2012-03-31,0.4906
2011-12-31,0.6143
2011-09-30,0.4729
2011-06-30,0.4983
2011-03-31,0.5134
