DateTime,AltmanZScore
2023-03-31,1.78
2022-12-31,1.875
2022-09-30,2.06
2022-06-30,2.295
2022-03-31,2.449
2021-12-31,2.602
2021-09-30,2.297
2021-06-30,2.283
2021-03-31,2.139
2020-12-31,1.951
2020-09-30,1.732
2020-06-30,1.776
2020-03-31,1.609
2019-12-31,1.748
2019-09-30,1.716
2019-06-30,1.772
2019-03-31,1.961
2018-12-31,1.942
2018-09-30,2.298
2018-06-30,2.468
2018-03-31,2.564
2017-12-31,2.426
2017-09-30,2.461
2017-06-30,2.34
2017-03-31,2.117
2016-12-31,1.865
2016-09-30,1.668
2016-06-30,1.324
2016-03-31,3.647
2015-12-31,3.845
2015-09-30,4.374
2015-06-30,4.398
2015-03-31,4.729
2014-12-31,5.159
2014-09-30,4.52
2014-06-30,4.414
2014-03-31,4.302
2013-12-31,4.023
2013-09-30,3.655
2013-06-30,3.814
2013-03-31,4.093
2012-12-31,3.79
2012-09-30,3.323
2012-06-30,2.836
2012-03-31,2.621
2011-12-31,5.284
2011-09-30,4.077
2011-06-30,4.672
2011-03-31,4.89
2010-12-31,4.707
