DateTime,AltmanZScore
2023-05-31,10.44
2023-02-28,9.131
2022-11-30,9.067
2022-08-31,9.992
2022-05-31,10.27
2022-02-28,11.56
2021-11-30,12.01
2021-08-31,12.23
2021-05-31,12.73
2021-02-28,15.5
2020-11-30,13.7
2020-08-31,12.07
2020-05-31,9.925
2020-02-29,11.53
2019-11-30,13.36
2019-08-31,13.87
2019-05-31,12.22
2019-02-28,13.75
2018-11-30,14.47
2018-08-31,13.1
2018-05-31,8.067
2018-02-28,7.703
2017-11-30,7.706
2017-08-31,7.368
2017-05-31,7.449
2017-02-28,7.687
2016-11-30,8.03
2016-08-31,8.634
2016-05-31,8.211
2016-02-29,8.087
2015-11-30,7.684
2015-08-31,7.375
2015-05-31,7.499
2015-02-28,7.005
2014-11-30,6.906
2014-08-31,6.297
2014-05-31,6.948
2014-02-28,7.22
2013-11-30,7.936
2013-08-31,6.65
2013-05-31,6.548
2013-02-28,6.939
2012-11-30,6.622
2012-08-31,6.894
2012-05-31,6.878
2012-02-29,6.556
2011-11-30,6.808
2011-08-31,8.252
2011-05-31,8.309
2011-02-28,8.159
