DateTime,AltmanZScore
2023-03-31,-0.0092
2022-12-31,-0.1386
2022-09-30,0.0301
2022-06-30,0.017
2022-03-31,-0.031
2021-12-31,0.3172
2021-09-30,-0.1782
2021-06-30,-0.2648
2021-03-31,-1.145
2020-12-31,-1.935
2020-09-30,-1.791
2020-06-30,-1.451
2020-03-31,-0.3273
2019-12-31,0.2712
2019-09-30,1.07
2019-06-30,1.184
2019-03-31,1.064
2018-12-31,1.269
2018-09-30,1.35
2018-06-30,1.154
2018-03-31,1.317
2017-12-31,1.154
2017-09-30,1.041
2017-06-30,1.143
2017-03-31,1.207
2016-12-31,1.423
2016-09-30,1.54
2016-06-30,1.68
2016-03-31,1.576
2015-12-31,1.966
2015-09-30,1.633
2015-06-30,1.491
2015-03-31,1.354
2014-12-31,1.508
2014-09-30,1.629
2014-06-30,1.435
2014-03-31,1.328
2013-12-31,1.37
2013-09-30,0.4922
2013-06-30,0.0676
2013-03-31,0.1996
2012-12-31,-0.0913
2012-09-30,-0.1296
2012-06-30,-0.0557
2012-03-31,0.1247
2011-12-31,0.1471
2011-09-30,0.1408
2011-06-30,0.2833
2011-03-31,-0.0646
2010-12-31,-0.4064
