DateTime,AltmanZScore
2023-06-30,12.21
2023-03-31,11.97
2022-12-31,11.19
2022-09-30,10.15
2022-06-30,10.09
2022-03-31,15.58
2021-12-31,15.71
2021-09-30,11.63
2021-06-30,18.76
2021-03-31,15.91
2020-12-31,15.49
2020-09-30,13.92
2020-06-30,12.88
2020-03-31,6.623
2019-12-31,13.58
2019-09-30,12.32
2019-06-30,10.85
2019-03-31,10.25
2018-12-31,11.78
2018-09-30,10.21
2018-06-30,8.689
2018-03-31,7.458
2017-12-31,6.809
2017-09-30,6.806
2017-06-30,12.13
2017-03-31,10.02
2016-12-31,9.622
2016-09-30,8.613
2016-06-30,7.783
2016-03-31,6.989
2015-12-31,6.506
2015-09-30,6.336
2015-06-30,6.026
2015-03-31,17.04
2014-12-31,11.61
2014-09-30,9.992
2014-06-30,9.222
2014-03-31,11.24
2013-12-31,23.48
2013-09-30,18.43
2013-06-30,16.04
2013-03-31,13.6
2012-12-31,10.18
2012-09-30,9.792
2012-06-30,9.769
2012-03-31,10.63
2011-12-31,17.69
2011-09-30,15.22
2011-06-30,14.22
2011-03-31,11.83
