DateTime,AltmanZScore
2022-12-31,-2.188
2022-09-30,-1.894
2022-06-30,-1.546
2022-03-31,-0.9296
2021-12-31,-0.6875
2021-09-30,-0.3115
2021-06-30,0.6219
2021-03-31,-0.0813
2020-12-31,-1.132
2020-09-30,-3.051
2020-06-30,-3.693
2020-03-31,-3.591
2019-12-31,-2.544
2019-09-30,-2.677
2019-06-30,-2.738
2019-03-31,-3.259
2018-12-31,-3.654
2018-09-30,-2.888
2018-06-30,-3.079
2018-03-31,-3.215
2017-12-31,-2.31
2017-09-30,-2.595
2017-06-30,-3.179
2017-03-31,-3.904
2016-12-31,-3.878
2016-09-30,-3.102
2016-06-30,-2.556
2016-03-31,-6.284
2015-12-31,-5.849
2015-09-30,-5.722
2015-06-30,-3.547
2015-03-31,-3.5
2014-12-31,-2.987
2014-09-30,-0.49
2014-06-30,1.376
2014-03-31,1.067
2013-12-31,2.228
2013-09-30,3.012
2013-06-30,4.939
2013-03-31,5.268
2012-12-31,4.815
2012-09-30,4.987
2012-06-30,6.603
2012-03-31,6.997
2011-09-30,4.326
2011-06-30,7.802
2011-03-31,7.641
2010-12-31,7.146
2010-09-30,5.273
2010-06-30,6.969
