DateTime,AltmanZScore
2023-06-30,0.4573
2023-03-31,0.471
2022-12-31,0.4771
2022-09-30,0.4784
2022-06-30,0.4844
2022-03-31,0.5557
2021-12-31,0.5738
2021-09-30,0.5621
2021-06-30,0.5465
2021-03-31,0.5089
2020-12-31,0.4414
2020-09-30,0.3909
2020-06-30,0.3838
2020-03-31,0.4193
2019-12-31,0.4631
2019-09-30,0.5277
2019-06-30,0.5204
2019-03-31,0.5235
2018-12-31,0.4924
2018-09-30,0.498
2018-06-30,0.5101
2018-03-31,0.5125
2017-12-31,0.4719
2017-09-30,0.4701
2017-06-30,0.4502
2017-03-31,0.4476
2016-12-31,0.4508
2016-09-30,0.4278
2016-06-30,0.4748
2016-03-31,0.4878
2015-12-31,0.4765
2015-09-30,0.4963
2015-06-30,0.5111
2015-03-31,0.516
2014-12-31,0.5058
2014-09-30,0.4893
2014-06-30,0.5034
2014-03-31,0.5129
2013-12-31,0.4873
2013-09-30,0.4922
2013-06-30,0.4603
2013-03-31,0.4839
2012-12-31,0.4659
2012-09-30,0.2621
2012-06-30,0.2598
2012-03-31,0.2651
2011-12-31,0.4785
2011-09-30,0.2546
2011-06-30,0.2466
2011-03-31,0.2614
