DateTime,AltmanZScore
2023-03-31,3.784
2022-12-31,3.802
2022-09-30,3.586
2022-06-30,3.898
2022-03-31,4.549
2021-12-31,4.306
2021-09-30,4.277
2021-06-30,4.458
2021-03-31,4.386
2020-12-31,4.408
2020-09-30,3.603
2020-06-30,3.481
2020-03-31,3.087
2019-12-31,3.985
2019-09-30,3.786
2019-06-30,3.79
2019-03-31,3.443
2018-12-31,3.041
2018-09-30,3.058
2018-06-30,2.921
2018-03-31,4.324
2017-12-31,4.46
2017-09-30,4.346
2017-06-30,4.087
2017-03-31,4.118
2016-12-31,4.148
2016-09-30,3.781
2016-06-30,3.553
2016-03-31,3.428
2015-12-31,3.558
2015-09-30,3.406
2015-06-30,3.799
2015-03-31,3.878
2014-12-31,4.002
2014-09-30,3.811
2014-06-30,3.995
2014-03-31,3.806
2013-12-31,4.057
2013-09-30,3.805
2013-06-30,3.842
2013-03-31,3.89
2012-12-31,3.88
2012-09-30,4.245
2012-06-30,4.63
2012-03-31,4.732
2011-12-31,4.727
2011-09-30,3.777
2011-06-30,4.057
2011-03-31,4.132
2010-12-31,4.348
