DateTime,AltmanZScore
2023-03-31,-5.077
2022-12-31,-3.954
2022-09-30,-2.167
2022-06-30,-1.433
2022-03-31,1.005
2021-12-31,-2.901
2021-09-30,-2.845
2021-06-30,1.01
2021-03-31,-5.502
2020-12-31,-4.227
2020-09-30,-17.02
2020-06-30,-16.18
2020-03-31,-15.55
2019-12-31,-13.55
2019-09-30,-16.9
2019-06-30,-19.6
2019-03-31,-20.08
2018-12-31,-24.48
2018-09-30,-34.07
2018-06-30,-33.49
2018-03-31,-31.49
2017-12-31,-28.8
2017-09-30,-29.12
2017-06-30,-73.76
2017-03-31,-81.86
2016-12-31,-63.81
2016-09-30,-64.92
2016-06-30,-39.36
2016-03-31,-28.11
2015-12-31,-19.31
2015-09-30,-21.83
2015-06-30,-26.49
2015-03-31,-18.89
2014-12-31,-15.05
2014-09-30,-21.71
2014-06-30,-16.59
2014-03-31,-12.85
2013-12-31,-9.959
2013-09-30,-14.68
2013-06-30,-17.78
2013-03-31,-14.6
2012-12-31,-12.22
2012-09-30,-17.63
2012-06-30,-14.76
2012-03-31,-11.69
2011-12-31,-15.4
2011-09-30,-15.41
2011-06-30,-14.97
2011-03-31,-14.68
2010-12-31,-16.57
