DateTime,AltmanZScore
2023-03-31,1.472
2022-12-31,1.484
2022-09-30,1.488
2022-06-30,1.386
2022-03-31,1.478
2021-12-31,1.582
2021-09-30,1.655
2021-06-30,1.872
2021-03-31,2.203
2020-12-31,3.279
2020-09-30,3.587
2020-06-30,3.742
2020-03-31,2.559
2019-12-31,2.748
2019-09-30,3.042
2019-06-30,3.404
2019-03-31,5.073
2018-12-31,5.504
2018-09-30,8.275
2018-06-30,9.053
2018-03-31,6.015
2017-12-31,9.985
2017-09-30,8.911
2017-06-30,8.03
2017-03-31,4.197
2016-12-31,3.937
2016-09-30,4.675
2016-06-30,3.97
2016-03-31,5.343
2015-12-31,5.286
2015-09-30,3.996
2015-06-30,5.873
2015-03-31,4.958
2014-12-31,5.422
2014-09-30,6.574
2014-06-30,6.572
2014-03-31,6.631
2013-12-31,15.84
2013-09-30,18.5
2013-06-30,11.8
2013-03-31,9.233
2012-12-31,8.27
