DateTime,AltmanZScore
2023-03-31,2.702
2022-12-31,2.743
2022-09-30,2.814
2022-06-30,2.753
2022-03-31,3.122
2021-12-31,3.315
2021-09-30,2.154
2021-06-30,2.162
2021-03-31,2.017
2020-12-31,1.72
2020-09-30,1.664
2020-06-30,1.603
2020-03-31,1.868
2019-12-31,1.972
2019-09-30,2.52
2019-06-30,2.573
2019-03-31,2.766
2018-12-31,2.569
2018-09-30,2.934
2018-06-30,3.097
2018-03-31,2.972
2017-12-31,2.906
2017-09-30,3.022
2017-06-30,2.782
2017-03-31,3.261
2016-12-31,3.244
2016-09-30,3.775
2016-06-30,3.653
2016-03-31,3.56
2015-12-31,4.108
2015-09-30,3.741
2015-06-30,3.757
2015-03-31,3.612
2014-12-31,3.502
2014-09-30,3.249
2014-06-30,3.258
2014-03-31,4.91
2013-12-31,4.886
2013-09-30,4.736
2013-06-30,4.351
2013-03-31,4.261
2012-12-31,3.937
2012-09-30,4.573
2012-06-30,9.322
2012-03-31,10.62
2011-12-31,10.65
2011-09-30,9.64
2011-06-30,9.848
2011-03-31,10.22
2010-12-31,10.04
