DateTime,AltmanZScore
2011-12-31,-101.08
2011-09-30,-116.99
2011-06-30,-111.2
2011-03-31,-124.39
2010-12-31,-135.57
2010-09-30,-106.8
2010-06-30,-76.73
2010-03-31,-92.73
2009-12-31,-96.88
2009-09-30,-55.41
2009-06-30,-61.37
2009-03-31,-82.79
2008-12-31,-64.8
2008-09-30,-60.05
2008-06-30,-50.51
2008-03-31,-90.44
2007-12-31,-111.38
2007-09-30,-111.38
2007-06-30,-78.81
2007-03-31,-36.57
2006-12-31,-102.5
2006-09-30,-48.44
2006-06-30,-68.58
2006-03-31,-156.37
2005-12-31,-38.6
2005-09-30,-540.95
2005-06-30,-104.41
2005-03-31,-590.23
2004-12-31,-380.54
